match_id,date,batter,batting_team,bowling_team,venue,rolling_avg_10,venue_avg,pvt_avg,pvp_avg,career_avg,next_match_runs
501235,2011-05-01,RV Uthappa,Pune Warriors,Rajasthan Royals,Sawai Mansingh Stadium,22.1,28.285714285714285,16.6,1.0,21.354166666666668,34.0
501236,2011-05-01,SK Raina,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",27.1,28.304347826086957,29.0,1.4375,30.11764705882353,61.0
501236,2011-05-01,JA Morkel,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",8.9,19.48,17.333333333333332,2.6,15.916666666666666,30.0
501236,2011-05-01,A Mishra,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",7.1,7.0,8.5,0.5,7.05,9.0
501236,2011-05-01,CL White,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",15.0,28.25,21.0,0.5,14.0625,13.0
501235,2011-05-01,SR Watson,Rajasthan Royals,Pune Warriors,Sawai Mansingh Stadium,26.9,30.17241379310345,21.181818181818183,0.25,31.56,32.0
501236,2011-05-01,MEK Hussey,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",33.2,40.38095238095238,8.0,0.7142857142857143,37.0,79.0
501236,2011-05-01,MS Dhoni,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",26.4,26.627906976744185,31.285714285714285,0.8831168831168831,26.59090909090909,41.0
501235,2011-05-01,M Manhas,Pune Warriors,Rajasthan Royals,Sawai Mansingh Stadium,16.2,24.0,17.0,0.8,15.333333333333334,0.0
501236,2011-05-01,JP Duminy,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",16.8,11.0,25.666666666666668,1.2857142857142858,25.608695652173914,55.0
501238,2011-05-02,PA Patel,Kochi Tuskers Kerala,Delhi Daredevils,Feroz Shah Kotla,14.4,20.25,11.0,1.0,18.606060606060606,21.0
501237,2011-05-02,KD Karthik,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,11.9,24.565217391304348,19.333333333333332,2.5714285714285716,19.609756097560975,20.0
501238,2011-05-02,Y Venugopal Rao,Delhi Daredevils,Kochi Tuskers Kerala,Feroz Shah Kotla,27.4,23.5,1.0,0.2857142857142857,19.294117647058822,3.0
501237,2011-05-02,P Kumar,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,4.1,6.5,4.5,0.2,7.44,15.0
501237,2011-05-02,A Symonds,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,21.4,12.6,35.5,1.0,30.548387096774192,3.0
501237,2011-05-02,PP Chawla,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,9.5,8.75,7.333333333333333,0.2222222222222222,8.782608695652174,5.0
501237,2011-05-02,AM Nayar,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,11.5,16.75,4.333333333333333,2.5,16.666666666666668,1.0
501237,2011-05-02,AT Rayudu,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,32.4,19.547619047619047,21.0,1.8571428571428572,27.047619047619047,27.0
501238,2011-05-02,BB McCullum,Kochi Tuskers Kerala,Delhi Daredevils,Feroz Shah Kotla,30.3,36.333333333333336,13.5,3.2,27.275862068965516,1.0
501237,2011-05-02,AC Gilchrist,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,20.6,0.0,33.5,1.0588235294117647,26.865384615384617,0.0
501237,2011-05-02,KA Pollard,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,19.2,22.38888888888889,19.0,2.0,16.294117647058822,28.0
501238,2011-05-02,IK Pathan,Delhi Daredevils,Kochi Tuskers Kerala,Feroz Shah Kotla,11.3,10.722222222222221,13.0,2.16,15.857142857142858,12.0
501238,2011-05-02,BJ Hodge,Kochi Tuskers Kerala,Delhi Daredevils,Feroz Shah Kotla,19.3,26.25,12.333333333333334,2.75,22.555555555555557,35.0
501238,2011-05-02,DPMD Jayawardene,Kochi Tuskers Kerala,Delhi Daredevils,Feroz Shah Kotla,18.0,22.88235294117647,18.833333333333332,0.6363636363636364,23.13953488372093,55.0
501238,2011-05-02,NV Ojha,Delhi Daredevils,Kochi Tuskers Kerala,Feroz Shah Kotla,10.9,11.8,0.0,0.8148148148148148,20.766666666666666,7.0
